laptime in seconds,car
116.032,Audi Evo 2
114.12,Audi Evo 2
117.897,Audi Evo 2
116.08,Audi Evo 2
116.357,Audi Evo 2
116.037,Audi Evo 2
115.162,Audi Evo 2
115.775,Audi Evo 2
116.725,Audi Evo 2
117.032,Audi Evo 2
115.442,Audi Evo 2
115.677,Audi Evo 2
115.085,Audi Evo 2
114.757,Audi Evo 2
115.95,Audi Evo 2
114.937,Audi Evo 2
117.682,Audi Evo 2
115.557,Audi Evo 2
114.947,Audi Evo 2
119.057,Audi Evo 2
113.762,Audi Evo 2
117.405,Audi Evo 2
114.807,Audi Evo 2
117.122,Audi Evo 2
115.245,Audi Evo 2
117.18,Audi Evo 2
116.787,Audi Evo 2
113.892,Audi Evo 2
116.182,Audi Evo 2
114.825,Audi Evo 2
116.542,Audi Evo 2
114.835,Audi Evo 2
117.11,Audi Evo 2
115.715,Audi Evo 2
116.545,Audi Evo 2
114.232,Audi Evo 2
115.785,Audi Evo 2
117.535,Audi Evo 2
114.617,Audi Evo 2
116.425,Audi Evo 2
116.435,Audi Evo 2
117.777,Audi Evo 2
114.22,Audi Evo 2
113.852,Audi Evo 2
116.422,Audi Evo 2
116.082,Audi Evo 2
114.492,Audi Evo 2
115.175,Audi Evo 2
116.63,Audi Evo 2
119.585,Audi Evo 2
117.067,Audi Evo 2
114.845,Audi Evo 2
115.94,Audi Evo 2
115.512,Audi Evo 2
116.27,Audi Evo 2
115.24,Audi Evo 2
117.272,Audi Evo 2
117.115,Audi Evo 2
116.69,Audi Evo 2
116.245,Audi Evo 2
117.14,Audi Evo 2
115.467,Audi Evo 2
119.187,Audi Evo 2
114.9,Audi Evo 2
115.642,Audi Evo 2
114.365,Audi Evo 2
119.995,Audi Evo 2
116.642,Audi Evo 2
114.2,Audi Evo 2
115.415,Audi Evo 2
115.957,Audi Evo 2
115.195,Audi Evo 2
114.877,Audi Evo 2
116.28,Audi Evo 2
117.477,Audi Evo 2
116.697,Audi Evo 2
115.607,Audi Evo 2
117.28,Audi Evo 2
115.272,Audi Evo 2
115.457,Audi Evo 2
120.127,Audi Evo 2
115.782,Audi Evo 2
116.752,Audi Evo 2
116.12,Audi Evo 2
116.317,Audi Evo 2
116.337,Audi Evo 2
116.14,Audi Evo 2
115.692,Audi Evo 2
118.917,Audi Evo 2
115.222,Audi Evo 2
114.795,Audi Evo 2
116.092,Audi Evo 2
116.185,Audi Evo 2
119.157,Audi Evo 2
116.52,Audi Evo 2
114.89,Audi Evo 2
116.745,Audi Evo 2
116.96,Audi Evo 2
114.167,Audi Evo 2
115.1,Audi Evo 2
115.207,Audi Evo 2
114.962,Audi Evo 2
115.522,Audi Evo 2
115.155,Audi Evo 2
115.205,Audi Evo 2
116.142,Audi Evo 2
115.512,Audi Evo 2
116.767,Audi Evo 2
117.272,Audi Evo 2
115.345,Audi Evo 2
116.092,Audi Evo 2
118.87,Audi Evo 2
116.352,Audi Evo 2
116.917,Audi Evo 2
116.245,Audi Evo 2
117.227,Audi Evo 2
117.75,Audi Evo 2
118.617,Audi Evo 2
